Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data,CoefficientHannum
cg00075967,64220,36,15,NM_022369.2,0.65540983,NA
cg00076645,92181,36,5,NM_152277.1,0.047597311,NA
cg00077457,284695,36,1,NM_181781.2,0.790110038,NA
cg00077877,50807,36,8,NM_018482.2,0.64345974,NA
cg00078194,4192,36,11,NM_001012334.1,0.036081119,NA
cg00078867,7454,36,X,NM_000377.1,0.589968869,NA
cg00079056,27290,36,9,NM_014471.1,0.837299649,NA
cg00079563,26286,36,22,NM_014570.3,0.028091756,NA
cg00080012,8726,36,11,NM_003797.2,0.026225489,NA
cg00081935,10867,36,12,NM_006675.3,0.070005483,NA
cg00081975,8714,36,17,NM_003786.2,0.051878168,NA
cg00083720,11034,36,20,NM_006870.3,0.026518329,NA
cg00083937,23542,36,22,NM_012324.2,0.522623389,NA
cg00084687,57798,36,7,NM_021167.2,0.029203065,NA
cg00089071,7703,36,17,NM_007144.2,0.029226463,NA
cg00090147,2626,36,8,NT_077531.3,0.128310023,NA
cg00091693,54474,36,17,NM_019010.1,0.66466408,NA
cg00093177,342666,36,17,NM_198502.1,0.846444003,NA
cg00093433,NA,NA,NA,NA,NA,NA
cg00094319,5042,36,13,NM_030979.2,0.737926487,NA
cg00094851,3797,36,2,NM_002254.5,0.072468542,NA
cg00095526,779,36,1,NM_000069.1,0.706345779,NA
cg00095674,51177,36,1,NM_016274.3,0.075394541,NA
cg00095688,NA,NA,NA,NA,NA,NA
cg00096922,1749,36,7,NM_005221.4,0.074304805,NA
cg00097536,678,36,2,NM_006887.3,0.044965645,NA
cg00098162,118932,36,10,NM_144590.1,0.790234021,NA
cg00098239,10908,36,19,NM_006702.2,0.026536813,NA
cg00099550,3185,36,10,NM_004966.2,0.034843988,NA
cg00101227,4359,36,1,NM_000530.3,0.813522221,NA
cg00103783,9526,36,17,NM_004870.1,0.025810904,NA
cg00105253,256281,36,14,NM_177533.2,0.090108462,NA
cg00105470,79169,36,1,NM_024319.2,0.042877989,NA
cg00107187,388021,36,14,NM_207379.1,0.146288338,NA
cg00107488,10587,36,22,NM_145747.1,0.265206676,NA
cg00107632,55276,36,4,NM_018290.2,0.040662157,NA
cg00108454,712,36,1,NM_015991.1,0.47375521,NA
cg00109274,160851,36,13,NM_152910.3,0.048812573,NA
cg00112517,84152,36,17,NM_032192.2,0.108122474,NA
cg00113020,11006,36,19,NM_006847.2,0.809216092,NA
cg00113951,9478,36,12,NM_031205.2,0.123891627,NA
cg00115714,262,36,6,NM_001634.4,0.089106863,NA
cg00116234,92949,36,9,NM_052866.2,0.082382319,NA
cg00116838,147699,36,19,NM_178494.2,0.100514578,NA
cg00117172,864,36,1,NT_004610.18,0.090400661,NA
cg00119079,27074,36,3,NM_014398.2,0.059950422,NA
cg00121158,23081,36,9,NM_015061.1,0.034065346,NA
cg00121640,23245,36,9,NM_198188.1,0.067756792,NA
cg00121904,4129,36,X,NM_000898.3,0.147581393,NA
cg00123035,5993,36,1,NM_000449.3,0.067357757,NA
cg00126034,7473,36,17,NM_030753.3,0.053689115,NA
cg00126657,280657,36,X,NM_173357.2,0.620865305,NA
cg00126698,695,36,X,NM_000061.1,0.710554607,NA
cg00128197,3028,36,X,NM_004493.1,0.153706546,NA
cg00128560,91151,36,16,NM_033208.2,0.85875592,NA
cg00128654,55051,36,14,NM_199043.1,0.042165158,NA
cg00128766,9813,36,1,NM_014774.1,0.104007096,NA
cg00128877,8569,36,1,NM_003684.3,0.096707054,NA
cg00129774,1017,36,12,NT_029419.11,0.050565389,NA
cg00131121,5439,36,7,NM_006234.4,0.048281517,NA
cg00131557,29103,36,13,NM_013238.2,0.865692877,NA
cg00132141,29119,36,10,NM_013266.1,0.612543074,NA
cg00133909,80381,36,15,NM_025240.2,0.057264606,NA
cg00134539,53347,36,21,NM_018961.2,0.669641893,NA
cg00134787,4619,36,17,NM_005963.2,0.768240982,NA
cg00135056,56941,36,3,NM_020187.2,0.121112422,NA
cg00135393,2266,36,4,NM_000509.4,0.433708346,NA
cg00136105,79158,36,12,NM_024312.3,0.040188014,NA
cg00136405,59067,36,4,NM_021803.1,0.556440736,NA
cg00136477,714,36,1,NM_172369.2,0.724098678,NA
cg00136736,8563,36,22,NM_003678.4,0.052100264,NA
cg00138126,56937,36,20,NM_020182.3,0.64670254,NA
cg00141162,3059,36,3,NM_005335.3,0.367245541,NA
cg00141550,85417,36,X,NM_033031.1,0.758866475,NA
cg00141845,139596,36,X,NM_145052.1,0.298732044,NA
cg00143376,10316,36,2,NM_006056.2,0.454101574,NA
cg00143998,128312,36,1,NM_175055.2,0.065171834,NA
cg00145118,10007,36,5,NM_005471.3,0.34098413,NA
cg00145348,27301,36,X,NM_014481.2,0.246543296,NA
cg00146096,2188,36,11,NM_022725.2,0.032848539,NA
cg00147638,NA,NA,NA,NA,NA,NA
cg00149659,55845,36,3,NM_018462.4,0.042705101,NA
cg00149976,11343,36,3,NM_007283.5,0.04392708,NA
cg00151234,5230,36,X,NM_000291.2,0.227995591,NA
cg00151607,2588,36,16,NM_000512.3,0.025813124,NA
cg00152644,6704,36,1,NM_001024209.1,0.829161805,NA
cg00155167,157680,36,8,NM_181661.1,0.057437348,NA
cg00155485,23389,36,12,NM_015335.2,0.052441626,NA
cg00155609,7001,36,19,NM_005809.4,0.053101512,NA
cg00156216,334,36,11,NM_001642.1,0.036887851,NA
cg00156744,6793,36,5,NM_005990.2,0.03876204,NA
cg00158308,27199,36,13,NM_080818.3,0.099401313,NA
cg00160914,55924,36,1,NM_198926.1,0.175274525,NA
cg00162401,2941,36,6,NM_001512.2,0.038218975,NA
cg00162643,23586,36,9,NM_014314.2,0.048507978,NA
cg00164041,51191,36,4,NM_016323.1,0.070500388,NA
cg00164898,5600,36,22,NM_138993.2,0.052917759,NA
cg00165981,10087,36,5,NM_031361.1,0.077883481,NA
cg00167504,644,36,7,NM_000712.3,0.039797875,NA
cg00168082,25,36,9,NM_007313.2,0.059057476,NA
cg00168785,151525,36,2,NM_152528.1,0.094146662,NA
cg00168942,219770,36,10,NM_153368.1,0.645996778,NA
cg00169548,11177,36,14,NM_013448.2,0.374576727,NA
cg00171126,7485,36,21,NM_004627.2,0.04989797,NA
cg00171161,53343,36,4,NM_198038.1,0.069112854,NA
cg00174500,116173,36,14,NM_138460.2,0.612632895,NA
cg00174901,5064,36,19,NM_002579.1,0.214422019,NA
cg00176210,286,36,8,NM_020475.2,0.505620257,NA
cg00176879,5786,36,20,NM_002836.2,0.956747363,NA
cg00177013,10139,36,20,NM_003224.2,0.06809438,NA
cg00177698,55163,36,17,NM_018129.1,0.051457026,NA
cg00177923,23484,36,8,NM_015344.1,0.036949423,NA
cg00178790,125228,36,18,NM_152352.1,0.058298569,NA
cg00179446,65109,36,X,NM_023010.2,0.207021355,NA
cg00180012,246269,36,6,NM_145315.3,0.046922254,NA
cg00180631,4534,36,X,NM_000252.1,0.382987232,NA
cg00182461,53938,36,2,NM_032472.3,0.085864434,NA
cg00183239,NA,NA,NA,NA,NA,NA
cg00183782,4205,36,15,NM_005587.1,0.738253648,NA
cg00183916,9953,36,17,NM_006041.1,0.0412999,NA
cg00184884,9814,36,22,NM_014775.2,0.022930679,NA
cg00184893,59344,36,17,NM_021628.1,0.041551364,NA
cg00185103,7596,36,19,NM_003425.2,0.763776719,NA
cg00185839,55367,36,11,NM_018494.3,0.043802237,NA
cg00186141,5420,36,7,NM_005397.2,0.039298946,NA
cg00186701,85453,36,8,NM_033512.2,0.34485626,NA
cg00186954,6764,36,11,NM_005418.3,0.661348816,NA
cg00187380,3222,36,12,NM_018953.2,0.131628353,NA
cg00187686,6947,36,11,NM_001062.2,0.539870996,NA
cg00188348,8815,36,11,NM_003860.2,0.67257029,NA
cg00191052,56548,36,X,NM_019886.2,0.437798388,NA
cg00194146,54438,36,6,NM_018988.1,0.12856944,NA
cg00195561,1132,36,11,NM_000741.2,0.836196311,NA
cg00197381,51307,36,5,NM_016605.1,0.046542328,NA
cg00197641,122704,36,14,NM_178336.1,0.06181607,NA
cg00199549,4174,36,22,NM_006739.2,0.922136334,NA
cg00200063,84669,36,17,NM_032582.3,0.036997262,NA
cg00201234,2199,36,3,NM_001004019.1,0.173752997,NA
cg00202702,85016,36,11,NM_032930.1,0.038643623,NA
cg00202711,3358,36,X,NM_000868.1,0.177317938,NA
cg00204262,1891,36,19,NM_001398.2,0.747830296,NA
cg00206052,25911,36,10,NM_015448.1,0.054432945,NA
cg00207534,9798,36,16,NM_014761.2,0.040147553,NA
cg00208830,3918,36,1,NM_005562.1,0.722308812,NA
cg00208967,93145,36,19,NM_058164.1,0.206571995,NA
cg00209066,23774,36,22,NM_014577.1,0.873075797,NA
cg00209951,163259,36,1,NM_198459.2,0.077517526,NA
cg00210842,317,36,12,NT_019546.15,0.050710437,NA
cg00211661,116985,36,11,NM_015242.2,0.069958381,NA
cg00212549,54437,36,3,NM_018987.1,0.098433868,NA
cg00213044,140446,36,12,NM_058242.1,0.811037109,NA
cg00213331,64374,36,5,NM_022464.3,0.866473086,NA
cg00213714,22954,36,9,NM_012210.2,0.06725627,NA
cg00214346,5573,36,17,NM_002734.3,0.037942254,NA
cg00214794,3872,36,17,NM_000422.1,0.552189428,NA
cg00214855,63933,36,6,NM_022102.1,0.151628289,NA
cg00215066,4650,36,19,NM_004145.2,0.931526351,NA
cg00216361,2596,36,3,NM_002045.2,0.059311401,NA
cg00216758,256329,36,11,NM_173573.1,0.063623585,NA
cg00217795,1734,36,14,NM_000793.3,0.517499249,NA
cg00221494,10160,36,13,NM_005766.2,0.14686366,NA
cg00223186,84320,36,1,NM_032360.2,0.042958922,NA
cg00223950,23352,36,1,NM_020765.1,0.058065647,NA
cg00224234,55178,36,17,NM_018146.2,0.030104212,NA
cg00224508,56882,36,1,NM_020239.2,0.04570591,NA
cg00226904,5268,36,18,NT_025028.13,0.750489888,NA
cg00226923,221472,36,6,NM_173558.2,0.789242872,NA
cg00228799,2021,36,9,NM_004435.2,0.04782341,NA
cg00229387,93643,36,6,NM_080604.1,0.309781084,NA
cg00230271,93627,36,4,NM_033115.2,0.059491193,NA
cg00230368,3482,36,6,NM_000876.1,0.047851485,NA
cg00230502,160777,36,12,NM_178499.2,0.161778972,NA
cg00230685,6322,36,X,NM_006746.3,0.246237703,NA
cg00231140,10449,36,18,NM_006111.1,0.052819946,NA
cg00231644,7280,36,6,NM_001069.2,0.203507628,NA
cg00231920,64601,36,20,NM_022575.2,0.047716426,NA
cg00233307,11184,36,19,NM_007181.3,0.137680311,NA
cg00234616,3196,36,2,NM_001534.2,0.146083873,NA
cg00234961,9889,36,22,NM_014838.1,0.058040526,NA
cg00236832,5914,36,17,NM_001024809.2,0.099514278,NA
cg00237010,4815,36,12,NM_016533.4,0.68994004,NA
cg00238052,140597,36,X,NM_080390.3,0.220640051,NA
cg00239071,283600,36,14,NM_207117.2,0.938343482,NA
cg00239419,6198,36,17,NM_003161.2,0.823578539,NA
cg00239685,64689,36,3,NM_031899.2,0.080536143,NA
cg00240312,999,36,16,NM_004360.2,0.052778936,NA
cg00240432,7291,36,7,NM_000474.3,0.047095724,NA
cg00240880,8839,36,20,NM_003881.2,0.653760583,NA
cg00241355,2597,36,12,NM_002046.2,0.043804561,NA
cg00242839,84991,36,10,NM_032905.3,0.463287883,NA
cg00243313,50805,36,5,NM_016358.1,0.043177363,NA
cg00245878,51351,36,7,NM_015852.1,0.757061257,NA
cg00247489,1380,36,1,NM_001877.3,0.036847126,NA
cg00250430,10655,36,9,NM_006557.3,0.194644661,NA
cg00253200,151963,36,3,NM_178496.2,0.042851852,NA
cg00256074,29895,36,16,NM_013292.2,0.820756676,NA
cg00256166,64410,36,15,NM_022480.2,0.04464422,NA
cg00256281,5372,36,22,NM_002676.1,0.034816339,NA
cg00259755,170394,36,10,NM_138499.2,0.108689404,NA
cg00260778,221060,36,10,NM_153244.1,0.589341785,NA
cg00261552,1389,36,12,NM_001310.2,0.05816677,NA
cg00261781,4148,36,2,NM_002381.3,0.035998378,NA
cg00262415,126789,36,1,NM_153339.1,0.037637239,NA
cg00263723,4905,36,17,NM_006178.1,0.031679876,NA
cg00263760,11023,36,10,NM_199131.1,0.098105771,NA
cg00265415,148789,36,1,NM_152490.1,0.028177928,NA
cg00265490,92140,36,8,NM_178812.2,0.083384011,NA
cg00268009,128,36,4,NM_000671.3,0.032257214,NA
cg00268338,143279,36,10,NM_173497.1,0.033975252,NA
cg00269115,148898,36,1,NM_138479.2,0.031386116,NA
cg00269932,3904,36,19,NM_002288.3,0.859262168,NA
cg00273068,90187,36,20,NM_052846.1,0.182871422,NA
cg00273124,55651,36,5,NM_017838.3,0.825035783,NA
cg00274399,2254,36,13,NM_002010.1,0.063227262,NA
cg00275232,162979,36,19,NM_145288.1,0.035253916,NA
cg00276797,9748,36,10,NM_014720.2,0.038726122,NA
cg00278366,144715,36,12,NM_152442.2,0.431244424,NA
cg00279797,9949,36,X,NM_015365.2,0.173229589,NA
cg00280814,150244,36,22,NM_152509.1,0.779607467,NA
cg00280894,56001,36,X,NM_022053.1,0.609577914,NA
cg00282347,26038,36,1,NM_015557.1,0.103676774,NA
cg00282683,9690,36,7,NM_014671.1,0.036259225,NA
cg00283535,312,36,8,NM_004306.2,0.656101867,NA
cg00288562,29896,36,7,NM_013293.2,0.038626375,NA
cg00290028,5994,36,13,NM_000538.2,0.03161591,NA
cg00290506,149111,36,1,NM_152495.1,0.038640912,NA
cg00291877,6627,36,15,NM_003090.2,0.086685755,NA
cg00292662,3956,36,22,NM_002305.2,0.062745548,NA
cg00292971,9715,36,7,NM_014690.2,0.559195386,NA
cg00293409,375387,36,3,NM_198565.1,0.067163308,NA
cg00294382,51561,36,12,NM_016584.2,0.259286252,NA
cg00295206,7879,36,3,NM_004637.5,0.045657502,NA
cg00295325,8647,36,2,NM_003742.2,0.700317062,NA
cg00296685,2968,36,6,NM_001517.4,0.100207379,NA
cg00297584,400077,36,12,NM_207436.1,0.08818985,NA
cg00297600,137970,36,8,NM_080872.1,0.480465091,NA
cg00298357,27190,36,5,NM_014443.2,0.870575222,NA
cg00298951,1240,36,12,NM_004072.1,0.690614156,NA
cg00301864,11021,36,12,NM_006861.4,0.016843101,NA
cg00302793,5530,36,4,NM_000944.2,0.050334483,NA
cg00303548,266722,36,13,XM_926275.1,0.035397239,NA
cg00304278,11011,36,17,NM_006852.2,0.081330263,NA
cg00307685,676,36,1,NM_001726.2,0.872502374,NA
cg00308133,2593,36,19,NM_000156.4,0.018996563,NA
cg00308665,3356,36,13,NM_000621.2,0.46875837,NA
cg00309056,83930,36,7,NM_032016.2,0.052859167,NA
cg00309204,254863,36,17,NM_152766.2,0.041282339,NA
cg00311768,7264,36,8,NM_003313.2,0.624250146,NA
cg00312919,83930,36,7,NM_032016.2,0.040209931,NA
cg00314943,251,36,2,NM_031313.1,0.815115607,NA
cg00315936,27044,36,7,NM_014390.2,0.103447722,NA
cg00317680,51001,36,8,NM_015942.3,0.106747888,NA
cg00318573,1137,36,20,NM_000744.2,0.242127647,NA
cg00318865,91,36,12,NM_020327.2,0.036982407,NA
cg00319692,245972,36,8,NM_152565.1,0.734818954,NA
cg00319761,9088,36,16,NM_182687.1,0.023334327,NA
cg00320243,5864,36,19,NM_002866.3,0.039037973,NA
cg00321065,6018,36,1,NM_012421.1,0.042872129,NA
cg00321478,23418,36,1,NM_012076.2,0.683930791,NA
cg00323915,55303,36,7,NM_018326.2,0.470556238,NA
cg00324733,4925,36,11,NM_005013.1,0.044704621,NA
cg00325491,56935,36,11,NM_020179.1,0.696833689,NA
cg00327185,1737,36,11,NM_001931.2,0.103376965,NA
cg00327483,844,36,1,NM_001231.2,0.915731686,NA
cg00328227,113802,36,1,NM_144584.1,0.382742432,NA
cg00330518,NA,NA,NA,NA,NA,NA
cg00331237,1466,36,12,NM_001321.1,0.070400194,NA
cg00331433,94056,36,X,NM_032796.2,0.055956446,NA
cg00332153,55024,36,4,NM_017935.2,0.196318039,NA
cg00332745,8996,36,16,NM_003946.3,0.044920549,NA
cg00333226,375567,36,7,NM_198570.1,0.117437424,NA
cg00333528,2569,36,6,NM_002042.2,0.381436553,NA
cg00334274,NA,NA,NA,NA,NA,NA
cg00334507,9961,36,16,NM_017458.2,0.609499061,NA
cg00335286,4158,36,18,NM_000529.2,0.455413053,NA
cg00336605,7376,36,19,NM_007121.2,0.057082524,NA
cg00338702,55743,36,12,NM_018223.1,0.089871317,NA
cg00338893,51650,36,7,NM_016071.2,0.045535616,NA
cg00340102,51614,36,20,NM_015966.2,0.162088804,NA
cg00342530,84253,36,9,NM_032293.3,0.495736348,NA
cg00343092,706,36,22,NM_000714.4,0.12882354,NA
cg00344358,10220,36,12,NM_005811.2,0.902853267,NA
cg00344372,3083,36,4,NM_001528.2,0.768805072,NA
cg00344709,317754,36,21,NM_174981.2,0.805442124,NA
cg00346145,6164,36,4,NM_000995.2,0.091819408,NA
cg00347729,4319,36,11,NM_002425.1,0.561262886,NA
cg00347904,222663,36,6,NM_152753.2,0.118784967,NA
cg00350296,57124,36,11,NM_020404.2,0.327550285,NA
cg00350478,79981,36,6,NM_024919.2,0.669257247,NA
cg00350702,51614,36,20,NM_015966.2,0.041449912,NA
cg00351011,79603,36,19,NM_024552.1,0.044917374,NA
cg00353953,171017,36,12,NM_133476.2,0.277817449,NA
cg00354258,23619,36,19,NT_011109.15,0.843104884,NA
cg00354572,79611,36,12,NM_024560.2,0.11607669,NA
cg00355656,NA,NA,NA,NA,NA,NA
cg00355802,1846,36,8,NM_057158.2,0.056816972,NA
cg00359325,7375,36,3,NM_003363.2,0.057531188,NA
cg00359973,158787,36,X,NM_144968.1,0.061329641,NA
cg00363813,25900,36,12,NM_015438.1,0.248400844,NA
cg00364344,1200,36,11,NM_000391.2,0.038630039,NA
cg00364814,22864,36,12,NM_014925.2,0.79056467,NA
cg00365193,4835,36,6,NM_000904.1,0.152979224,NA
cg00367281,1142,36,8,NM_000749.2,0.739910852,NA
cg00367438,83590,36,7,NM_031434.2,0.080624283,NA
cg00368022,55322,36,5,NM_018356.1,0.049386572,NA
cg00368415,81609,36,1,NM_030918.5,0.029105915,NA
cg00371195,2147,36,11,NM_000506.2,0.882497119,NA
cg00372249,NA,NA,NA,NA,NA,NA
cg00374717,22901,36,17,NM_014960.2,0.843191962,NA
cg00375964,6059,36,4,NM_002940.1,0.059358725,NA
cg00376639,51545,36,19,NM_016535.3,0.099866685,NA
cg00380464,84946,36,6,NM_032860.3,0.055827994,NA
cg00381076,162681,36,18,NM_173529.3,0.047644424,NA
cg00382515,65080,36,2,NM_022915.2,0.038075274,NA
cg00382991,388152,36,15,NM_203426.1,0.064471646,NA
cg00384537,3886,36,17,NM_002280.3,0.791395467,NA
cg00386408,7045,36,5,NM_000358.1,0.158329428,NA
cg00387170,116113,36,6,NM_001012426.1,0.083323193,NA
cg00392257,81875,36,1,NM_030980.1,0.565332759,NA
cg00393585,152756,36,4,NM_153027.1,0.108385179,NA
cg00394658,5795,36,11,NM_002843.2,0.284643855,NA
cg00396163,284944,36,2,NM_173645.1,0.044505278,NA
cg00396894,339779,36,2,NM_178553.2,0.706445815,NA
cg00397545,341,36,19,NM_001645.3,0.407038725,NA
cg00397740,5498,36,1,NM_000309.2,0.053562194,NA
cg00398048,175,36,4,NM_000027.2,0.276247095,NA
cg00399483,1630,36,18,NT_010966.13,0.156768307,NA
cg00400028,92370,36,3,NM_152282.2,0.288368938,NA
cg00400263,63939,36,20,NM_022106.1,0.930977983,NA
cg00401678,84658,36,19,NM_032571.2,0.42921385,NA
cg00402366,127255,36,1,NM_145258.1,0.060038281,NA
cg00403724,64102,36,X,NM_022144.1,0.597788987,NA
cg00404599,1831,36,X,NM_004089.3,0.250803481,NA
cg00405070,10961,36,12,NM_006817.2,0.051006223,NA
cg00405568,4836,36,17,NM_021079.3,0.064885554,NA
cg00405677,9421,36,5,NM_004821.1,0.067211245,NA
cg00406188,353140,36,1,NM_178429.2,0.751119632,NA
cg00406844,10738,36,22,NM_006604.1,0.784302774,NA
cg00407150,57467,36,3,NM_020707.2,0.690348011,NA
cg00410419,170622,36,13,NM_203495.1,0.050385455,NA
cg00410576,5597,36,15,NM_002748.2,0.041022937,NA
cg00410831,7596,36,19,NM_003425.2,0.846574148,NA
cg00410895,374969,36,1,NM_199342.1,0.798048495,NA
cg00410898,6781,36,8,NM_003155.2,0.132192273,NA
cg00410921,1159,36,15,NM_020990.3,0.339233301,NA
cg00411097,202915,36,7,NM_152689.2,0.402222025,NA
cg00412772,64073,36,19,NM_033520.1,0.60247312,NA
cg00412805,131377,36,3,NM_152393.2,0.911157086,NA
cg00413066,10017,36,15,NM_020396.2,0.871280047,NA
cg00415164,60529,36,11,NT_009237.17,0.072424224,NA
cg00415494,266740,36,X,NM_153488.3,0.862827608,NA
cg00415978,171024,36,4,NM_133477.1,0.09181434,NA
cg00415993,2151,36,5,NM_004101.2,0.412662801,NA
cg00417297,285267,36,3,NM_173656.1,0.036149476,NA
cg00418150,60529,36,11,NT_009237.17,0.43859582,NA
cg00419564,6277,36,1,NM_014624.3,0.05087578,NA
cg00420568,53358,36,9,NM_016848.2,0.097416945,NA
cg00420715,157680,36,8,NM_181661.1,0.034767726,NA
cg00420929,54858,36,19,NM_017712.1,0.438332372,NA
cg00422913,84981,36,17,NM_032895.2,0.056490386,NA
cg00424946,6645,36,16,NM_130845.1,0.036082535,NA
cg00425710,4489,36,16,NM_005946.2,0.763915215,NA
cg00425792,5193,36,17,NM_000286.1,0.078910343,NA
cg00426056,51596,36,6,NM_001014433.2,0.040163007,NA
cg00426498,399687,36,17,NM_078471.3,0.19786511,NA
cg00426963,55582,36,9,NM_017576.1,0.043135321,NA
cg00427635,161514,36,15,NM_153356.1,0.349329243,NA
cg00429618,387328,36,9,NM_199005.1,0.223997677,NA
cg00430287,2444,36,6,NM_002031.2,0.670175221,NA
cg00430945,64130,36,19,NM_022165.2,0.064855863,NA
cg00431050,83401,36,10,NM_152310.1,0.491895671,NA
cg00431114,79183,36,20,NM_024331.2,0.259849237,NA
cg00431549,4256,36,12,NM_000900.2,0.346544466,NA
cg00432979,78988,36,13,NM_024026.4,0.033470312,NA
cg00433406,127731,36,1,NM_144623.2,0.794483682,NA
cg00434413,8260,36,X,NM_003491.2,0.94825439,NA
cg00435408,89970,36,16,NM_133368.1,0.066174314,NA
cg00436282,6779,36,4,NM_003154.2,0.786993521,NA
cg00436301,221294,36,6,NM_152729.2,0.03916209,NA
cg00436603,1571,36,10,NM_000773.3,0.648224468,NA
cg00440980,NA,NA,NA,NA,NA,NA
cg00441136,9371,36,20,NM_004798.2,0.915303512,NA
cg00441382,9399,36,15,NM_004809.3,0.030635567,NA
